Gene	Ensembl	Sum
Gm21637	true	1
Gm21663	true	1
Gm21671	true	1
Gm21680	true	1
Gm21698	true	1
Gm21719	true	1
Gm21721	true	1
Gm21725	true	1
Gm21731	true	1
Gm2174	true	1
Gm21748	true	1
Gm21750	true	1
Gm21761	true	1
Gm21762	true	1
Gm21764	true	1
Gm21767	true	1
Gm21773	true	1
Gm21776	true	1
Gm21778	true	1
Gm21797	true	1
Gm21798	true	1
Gm21800	true	1
Gm21812	true	1
Gm21818	true	1
Gm21820	true	1
Gm21822	true	1
Gm21828	true	1
Gm21830	true	1
Gm21833	true	1
Gm21834	true	1
Gm21836	true	1
Gm21854	true	1
Gm21863	true	1
Gm21866	true	1
Gm21874	true	1
Gm21882	true	1
Gm21886	true	1
Gm21891	true	1
Gm21897	true	1
Gm21903	true	1
Gm21904	true	1
Gm21905	true	1
Gm21913	true	1
Gm21915	true	1
Gm21921	true	1
Gm21943	true	1
Gm21953	true	1
Gm21954	true	1
Gm21958	true	1
Gm21961	true	1
Gm21962	true	1
Gm21972	true	1
Gm21976	true	1
Gm21977	true	1
Gm21994	true	1
Gm2237	true	1
Gm2244	true	1
Gm2381	true	1
Gm26566	true	1
Gm266	true	1
Gm26602	true	1
Gm26620	true	1
Gm2663	true	1
Gm26657	true	1
Gm26741	true	1
Gm26897	true	1
Gm26992	true	1
Gm27027	true	1
Gm27235	true	1
Gm28036	true	1
Gm28038	true	1
Gm28047	true	1
Gm28053	true	1
Gm28079	true	1
Gm281	true	1
Gm28171	true	1
Gm28269	true	1
Gm28305	true	1
Gm28308	true	1
Gm2832	true	1
Gm28363	true	1
Gm28372	true	1
Gm28374	true	1
Gm28434	true	1
Gm28557	true	1
Gm28710	true	1
Gm28729	true	1
Gm2888	true	1
Gm2897	true	1
Gm29049	true	1
Gm29106	true	1
Gm29133	true	1
Gm2916	true	1
Gm29423	true	1
Gm29427	true	1
Gm2956	true	1
Gm29644	true	1
Gm29666	true	1
Gm29695	true	1
Gm2974	true	1
Gm3002	true	1
Gm3005	true	1
Gm3012	true	1
Gm3015	true	1
Gm3020	true	1
Gm3029	true	1
Gm30302	true	1
Gm3043	true	1
Gm3047	true	1
Gm3055	true	1
Gm3072	true	1
Gm3095	true	1
Gm3099	true	1
Gm3115	true	1
Gm31160	true	1
Gm3127	true	1
Gm3138	true	1
Gm3149	true	1
Gm3159	true	1
Gm3164	true	1
Gm3173	true	1
Gm3182	true	1
Gm3194	true	1
Gm3239	true	1
Gm3248	true	1
Gm3252	true	1
Gm3264	true	1
Gm32687	true	1
Gm3269	true	1
Gm32742	true	1
Gm3278	true	1
Gm3298	true	1
Gm3317	true	1
Gm3327	true	1
Gm3336	true	1
Gm33543	true	1
Gm3371	true	1
Gm3373	true	1
Gm33815	true	1
Gm3383	true	1
Gm33933	true	1
Gm3402	true	1
Gm3404	true	1
Gm3409	true	1
Gm3411	true	1
Gm3415	true	1
Gm3424	true	1
Gm3453	true	1
Gm3460	true	1
Gm3468	true	1
Gm3476	true	1
Gm3486	true	1
Gm3488	true	1
Gm3500	true	1
Gm3512	true	1
Gm3526	true	1
Gm35315	true	1
Gm35339	true	1
Gm3542	true	1
Gm3543	true	1
Gm35549	true	1
Gm3558	true	1
Gm3573	true	1
Gm3594	true	1
Gm3604	true	1
Gm36079	true	1
Gm36245	true	1
Gm3633	true	1
Gm3636	true	1
Gm36368	true	1
Gm3642	true	1
Gm3646	true	1
Gm3667	true	1
Gm3676	true	1
Gm3685	true	1
Gm36864	true	1
Gm3696	true	1
Gm37013	true	1
Gm3727	true	1
Gm3739	true	1
Gm37419	true	1
Gm3752	true	1
Gm3755	true	1
Gm3776	true	1
Gm37988	true	1
Gm38119	true	1
Gm382	true	1
Gm38303	true	1
Gm3880	true	1
Gm3893	true	1
Gm3952	true	1
Gm4181	true	1
Gm42791	true	1
Gm42906	true	1
Gm43191	true	1
Gm4340	true	1
Gm43517	true	1
Gm43518	true	1
Gm43552	true	1
Gm43738	true	1
Gm43951	true	1
Gm44501	true	1
Gm44790	true	1
Gm4491	true	1
Gm44965	true	1
Gm45021	true	1
Gm4513	true	1
Gm45140	true	1
Gm45194	true	1
Gm45208	true	1
Gm45213	true	1
Gm45521	true	1
Gm4565	true	1
Gm4567	true	1
Gm45713	true	1
Gm45717	true	1
Gm45783	true	1
Gm45826	true	1
Gm45844	true	1
Gm45861	true	1
Gm45871	true	1
Gm45902	true	1
Gm4631	true	1
Gm47189	true	1
Gm4724	true	1
Gm47429	true	1
Gm4756	true	1
Gm4767	true	1
Gm47791	true	1
Gm4787	true	1
Gm4791	true	1
Gm4792	true	1
Gm47955	true	1
Gm47959	true	1
Gm47969	true	1
Gm47985	true	1
Gm47995	true	1
Gm47996	true	1
Gm4841	true	1
Gm4846	true	1
Gm4847	true	1
Gm48551	true	1
Gm48552	true	1
Gm4871	true	1
Gm4894	true	1
Gm49027	true	1
Gm4922	true	1
Gm4924	true	1
Gm49318	true	1
Gm49325	true	1
